model,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,regime_type,regime,gate_mean
Base,186,0.033083,0.079493,1.667389,2.954554,8.758466,3.818873,-0.436618,-0.084566,0.607527,riem_regime,low_riem,
SPD-Riemannian PPO Gate,186,0.034274,0.071529,1.727391,3.401702,9.623993,8.11924,-0.212753,-0.076317,0.607527,riem_regime,low_riem,0.830108
Base,185,0.047565,0.098668,2.397264,3.42234,11.758939,4.481718,-0.534898,-0.091376,0.627027,riem_regime,mid_riem,
SPD-Riemannian PPO Gate,185,0.045182,0.090859,2.277159,3.530278,12.091404,9.219506,-0.246994,-0.079348,0.627027,riem_regime,mid_riem,0.785946
Base,186,0.043089,0.102222,2.171704,2.992532,8.997588,4.778916,-0.454434,-0.107568,0.623656,riem_regime,high_riem,
SPD-Riemannian PPO Gate,186,0.040761,0.084005,2.054342,3.444688,14.403577,9.544209,-0.215245,-0.054004,0.623656,riem_regime,high_riem,0.66129
Base,212,-0.040742,0.029971,-2.053388,-9.650658,-9.650658,-2.053681,-0.999857,-0.121664,0.0,base_down,base_down,
SPD-Riemannian PPO Gate,212,-0.024033,0.024564,-1.211282,-6.945837,-6.945837,-1.2183,-0.994239,-0.096158,0.0,base_down,base_down,0.643396
Base,345,0.091608,0.084268,4.617053,7.717663,650353632003.1598,4617052768991.161,0.0,0.00373,1.0,base_down,base_up,
SPD-Riemannian PPO Gate,345,0.07945,0.08109,4.004257,6.955709,564035779818.7827,4004256808716.871,0.0,0.00172,1.0,base_down,base_up,0.830145
Base,56,-0.08014,0.023736,-4.039048,-23.969433,-23.969433,-4.078961,-0.990215,-0.146943,0.0,base_tail,base_worst10pct,
SPD-Riemannian PPO Gate,56,-0.044998,0.033885,-2.26788,-9.427464,-9.427464,-2.461172,-0.921463,-0.127699,0.0,base_tail,base_worst10pct,0.571429
Base,501,0.054801,0.089261,2.761979,4.358588,24.070833,9.492081,-0.290977,-0.050788,0.688623,base_tail,normal,
SPD-Riemannian PPO Gate,501,0.049571,0.08101,2.49836,4.344107,25.303049,11.684309,-0.213822,-0.04096,0.688623,base_tail,normal,0.78004
