model,n_days,mean_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,gate_mean
Riemannian-PPO Gate,557,0.040063,2.019169,3.442246,11.578491,6.670241,-0.302713,-0.075633,0.61939,0.759066
Current PG Gate,557,0.040982,2.0655,3.355302,11.332188,7.130202,-0.289683,-0.079223,0.61939,0.824776
PPO Gate,557,0.038915,1.961303,3.332939,10.765519,5.62164,-0.348884,-0.078858,0.61939,0.797127
V2X-B Base,557,0.041234,2.078214,3.108282,9.767338,3.74947,-0.554269,-0.096148,0.61939,
V2X-G Geometry Overlay,557,0.029842,1.504043,3.111977,8.891853,3.197037,-0.470449,-0.072437,0.653501,
V2L Temporal Expert,557,0.011933,0.601405,2.449636,4.02352,1.054842,-0.570137,-0.058034,0.660682,
V2H Factor Tree,557,0.009769,0.492378,2.091605,3.647401,0.824923,-0.596877,-0.056009,0.631957,
Kronos-small Frozen,557,0.001617,0.08151,0.573831,0.938631,0.213104,-0.38249,-0.040162,0.520646,
TimeMoE-50M Frozen,557,-0.014836,-0.747725,-2.735366,-4.097617,-0.747838,-0.999849,-0.093773,0.355476,
Chronos-Bolt Frozen,557,-0.01709,-0.861334,-3.237337,-4.684669,-0.861374,-0.999954,-0.094301,0.319569,
